from_station,to_station,route_id,route_name,mode,time,distance
4,14,26-812-aus-1,Unknown,bus,60,405.69341081718
5,142,23-550-aus-1,Unknown,bus,60,225.82700926519843
6,5,23-550-aus-1,Unknown,bus,120,326.2465949664231
7,6,23-550-aus-1,Unknown,bus,60,200.86284226621805
9,108,23-550-aus-1,Unknown,bus,120,523.3937441211885
9,763,17-250-aus-1,Unknown,bus,60,393.9380248433257
11,15453,19-736-aus-1,Unknown,bus,60,357.3120047698386
11,16589,21-754-aus-1,Unknown,bus,60,270.0963649837789
12,11,19-736-aus-1,Unknown,bus,60,363.70769362131983
13,22,42-582-aus-1,Unknown,bus,180,1355.0865196318134
13,10934,18-902-aus-1,Unknown,bus,60,561.9334254876248
13,42637,18-902-aus-1,Unknown,bus,60,669.1913975713524
14,15,26-812-aus-1,Unknown,bus,60,263.66720529208925
15,16,26-812-aus-1,Unknown,bus,30,260.6888382244549
16,43,26-812-aus-1,Unknown,bus,60,267.6439615670035
17,12,19-736-aus-1,Unknown,bus,30,381.4776320843085
21,333,17-234-aus-1,Unknown,bus,120,410.9731829402013
22,26,18-902-aus-1,Unknown,bus,60,429.7795526011228
22,11706,42-582-aus-1,Unknown,bus,60,279.02541784527875
26,47,18-902-aus-1,Unknown,bus,120,500.7821140768479
27,670,17-250-aus-1,Unknown,bus,60,371.89756149954144
28,1246,28-773-aus-1,Unknown,bus,60,200.78351767012217
30,31,23-551-aus-1,Unknown,bus,30,214.10447101221013
31,32,23-551-aus-1,Unknown,bus,60,266.6684846838901
32,69,23-551-aus-1,Unknown,bus,30,125.53861063064574
33,74,42-517-aus-1,Unknown,bus,60,361.3958602794835
35,36,23-551-aus-1,Unknown,bus,30,251.90716834773409
36,37,23-551-aus-1,Unknown,bus,60,426.2871621241105
36,1699,42-517-aus-1,Unknown,bus,30,43.90888949605298
37,38,23-551-aus-1,Unknown,bus,60,286.3103692001058
38,39,23-551-aus-1,Unknown,bus,60,347.906682739322
39,40,17-903-aus-1,Unknown,bus,30,171.59697650581302
40,10972,42-513-aus-1,Unknown,bus,180,524.0558973407019
40,21469,23-551-aus-1,Unknown,bus,120,219.4670184537894
40,21471,17-903-aus-1,Unknown,bus,120,185.93750286614932
42,660,17-250-aus-1,Unknown,bus,60,339.9594946219229
43,3628,26-812-aus-1,Unknown,bus,30,90.0968086174833
44,1944,23-548-aus-1,Unknown,bus,60,177.2920769880919
44,46421,23-548-aus-1,Unknown,bus,60,272.7282314443754
45,6672,23-548-aus-1,Unknown,bus,60,256.8895089499704
46,44,23-548-aus-1,Unknown,bus,60,227.68065106215695
47,604,42-513-aus-1,Unknown,bus,60,509.27573813362034
47,4821,18-902-aus-1,Unknown,bus,240,1516.7979902642596
48,46,23-548-aus-1,Unknown,bus,60,406.4599552735713
50,73,23-548-aus-1,Unknown,bus,60,362.9674300818856
53,54,23-550-aus-1,Unknown,bus,30,94.7681889643036
54,55,23-550-aus-1,Unknown,bus,60,209.0328084172216
55,56,23-550-aus-1,Unknown,bus,30,281.47404788134594
56,58,23-550-aus-1,Unknown,bus,60,291.8769268904371
57,59,23-550-aus-1,Unknown,bus,60,169.62611300566425
58,57,23-550-aus-1,Unknown,bus,60,175.6295528342945
59,401,23-550-aus-1,Unknown,bus,60,566.9929886467207
60,101,14-279-aus-1,Unknown,bus,60,522.4521162638442
61,649,17-234-aus-1,Unknown,bus,60,222.1781570217953
67,75,23-548-aus-1,Unknown,bus,30,229.57280817508752
67,497,42-517-aus-1,Unknown,bus,60,302.51137338950167
68,33,42-517-aus-1,Unknown,bus,60,254.4574675787104
68,69,23-548-aus-1,Unknown,bus,60,341.91184575467526
69,74,23-548-aus-1,Unknown,bus,30,273.91348543283226
70,67,23-548-aus-1,Unknown,bus,60,257.1850037215213
71,1135,17-246-aus-1,Unknown,bus,60,292.3836427361613
72,92,23-551-aus-1,Unknown,bus,60,150.90863091903765
73,70,23-548-aus-1,Unknown,bus,60,369.6687070375387
73,72,23-551-aus-1,Unknown,bus,30,246.39935285364948
74,35,23-551-aus-1,Unknown,bus,60,160.07029028844752
74,6687,23-548-aus-1,Unknown,bus,120,363.2967633450711
75,76,23-548-aus-1,Unknown,bus,60,177.14008517659627
76,78,23-548-aus-1,Unknown,bus,60,239.1987558949612
77,1493,23-548-aus-1,Unknown,bus,30,250.2552979335012
78,81,23-548-aus-1,Unknown,bus,60,326.7534665848911
79,77,23-548-aus-1,Unknown,bus,30,251.05086865165387
80,79,23-548-aus-1,Unknown,bus,60,314.32674728552354
81,6674,23-548-aus-1,Unknown,bus,60,279.82544630207326
84,6675,23-548-aus-1,Unknown,bus,60,303.1375864918811
86,17,19-736-aus-1,Unknown,bus,60,213.2325872908532
87,939,17-202-aus-1,Unknown,bus,300,936.4606897861096
89,59,23-551-aus-1,Unknown,bus,60,162.82088039021122
90,89,23-551-aus-1,Unknown,bus,60,359.13930619530083
91,90,23-551-aus-1,Unknown,bus,30,148.9312548407498
92,91,23-551-aus-1,Unknown,bus,30,267.01106958256526
94,73,23-551-aus-1,Unknown,bus,60,156.33789226734245
95,94,23-551-aus-1,Unknown,bus,30,160.66528787222538
96,95,23-551-aus-1,Unknown,bus,60,487.3396314867903
97,96,23-551-aus-1,Unknown,bus,30,291.4159837083897
98,97,23-551-aus-1,Unknown,bus,60,279.57375282388784
98,10053,17-903-aus-1,Unknown,bus,180,716.517993553703
98,10054,42-513-aus-1,Unknown,bus,120,435.37380653670976
99,98,17-903-aus-1,Unknown,bus,120,457.4034810073633
101,104,14-293-aus-1,Unknown,bus,60,428.8636110290839
101,5167,14-279-aus-1,Unknown,bus,120,820.8063936726636
102,2667,42-566-aus-1,Unknown,bus,60,162.9841344046748
103,105,14-200-aus-1,Unknown,bus,30,204.5062096878944
104,285,14-293-aus-1,Unknown,bus,30,401.5520387508764
105,106,14-200-aus-1,Unknown,bus,30,127.37097390479546
106,109,14-200-aus-1,Unknown,bus,60,400.7412394646146
107,6681,23-548-aus-1,Unknown,bus,60,332.77481230740995
108,7,23-550-aus-1,Unknown,bus,30,179.15376628893773
108,6671,23-551-aus-1,Unknown,bus,30,167.70920609272957
109,135,14-200-aus-1,Unknown,bus,60,498.0161741952987
110,112,23-548-aus-1,Unknown,bus,60,303.7282907796715
111,6680,23-548-aus-1,Unknown,bus,60,290.75659196869395
111,44767,17-510-aus-1,Unknown,bus,30,123.52678284460106
112,113,23-548-aus-1,Unknown,bus,60,258.843252239662
113,116,23-548-aus-1,Unknown,bus,120,189.0323133984476
114,111,23-548-aus-1,Unknown,bus,60,333.99505753098737
114,1921,23-549-aus-1,Unknown,bus,60,270.7310684238789
114,8819,17-510-aus-1,Unknown,bus,60,250.0996827360328
115,114,23-548-aus-1,Unknown,bus,30,140.11935984678473
116,117,23-548-aus-1,Unknown,bus,30,176.75085559511533
117,118,23-548-aus-1,Unknown,bus,60,244.16642168490512
118,119,23-548-aus-1,Unknown,bus,60,250.703339937552
119,120,23-548-aus-1,Unknown,bus,30,238.48322089315403
120,121,23-548-aus-1,Unknown,bus,60,280.4308836385836
121,122,23-548-aus-1,Unknown,bus,60,233.5383618909405
122,123,23-548-aus-1,Unknown,bus,30,385.774916234442
122,16648,37-546-aus-1,Unknown,bus,60,263.6468974199292
123,124,23-548-aus-1,Unknown,bus,60,216.4339412543625
124,125,23-548-aus-1,Unknown,bus,30,215.7810112361457
125,126,23-548-aus-1,Unknown,bus,180,1078.2109619113062
126,127,23-548-aus-1,Unknown,bus,30,349.92299639620694
127,128,23-548-aus-1,Unknown,bus,60,174.58074139404906
128,130,23-548-aus-1,Unknown,bus,60,463.5421325631546
130,131,23-548-aus-1,Unknown,bus,30,111.82018150976782
131,132,23-548-aus-1,Unknown,bus,60,288.7686735189319
132,4958,23-548-aus-1,Unknown,bus,60,323.50321160566705
135,137,14-200-aus-1,Unknown,bus,60,490.4569072370253
136,712,23-548-aus-1,Unknown,bus,30,202.35111604764003
137,138,14-200-aus-1,Unknown,bus,60,316.05317019271644
138,140,14-200-aus-1,Unknown,bus,30,277.34716431180567
139,102,42-566-aus-1,Unknown,bus,180,270.51627329973354
139,10617,42-559-aus-1,Unknown,bus,120,427.9376980047795
140,143,14-200-aus-1,Unknown,bus,60,241.32165328081345
142,144,23-550-aus-1,Unknown,bus,60,246.3395942415652
143,145,14-200-aus-1,Unknown,bus,30,225.90771859918252
144,147,23-550-aus-1,Unknown,bus,30,158.78158825494
145,17598,14-200-aus-1,Unknown,bus,60,340.43405306356607
146,629,14-281-aus-1,Unknown,bus,60,266.2100517471292
147,47164,23-550-aus-1,Unknown,bus,300,756.6629063359428
149,139,42-566-aus-1,Unknown,bus,180,380.6474084454446
149,2672,42-566-aus-1,Unknown,bus,120,779.460980871027
150,149,42-566-aus-1,Unknown,bus,60,379.7916884417948
151,150,42-566-aus-1,Unknown,bus,60,221.8629105776471
152,151,42-566-aus-1,Unknown,bus,30,183.10341074455053
153,152,42-566-aus-1,Unknown,bus,60,395.6625385264284
154,153,42-566-aus-1,Unknown,bus,30,182.47061005412093
155,154,42-566-aus-1,Unknown,bus,60,324.492913896818
156,155,42-566-aus-1,Unknown,bus,30,267.08016882107523
157,156,42-566-aus-1,Unknown,bus,60,315.26523910756424
157,2293,42-569-aus-1,Unknown,bus,60,148.66800561981094
158,157,42-566-aus-1,Unknown,bus,60,684.13313023845
159,158,42-566-aus-1,Unknown,bus,60,241.46906181541317
160,159,42-566-aus-1,Unknown,bus,30,220.30746675984184
161,160,42-566-aus-1,Unknown,bus,60,469.957910846559
161,2311,42-382-aus-1,Unknown,bus,60,364.54731824419673
162,161,42-382-aus-1,Unknown,bus,60,191.37390992256607
163,162,42-382-aus-1,Unknown,bus,30,289.7605530545498
164,163,42-566-aus-1,Unknown,bus,60,210.8809607820688
164,1088,42-564-aus-1,Unknown,bus,30,96.57720244936893
164,2690,42-383-aus-1,Unknown,bus,360,1757.8459299355286
165,164,42-566-aus-1,Unknown,bus,60,365.40178216871766
166,165,42-566-aus-1,Unknown,bus,30,414.1522789680674
167,166,42-566-aus-1,Unknown,bus,60,342.15625235832744
167,7662,42-386-aus-1,Unknown,bus,60,416.8865306825894
