route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color,feed_source
aus:vic:vic-01-ABY:,,Seymour,Albury - Melbourne Via Seymour,2,8F1A95,FFFFFF,1_regional_train
aus:vic:vic-01-ART:,,Ballarat,Ararat - Melbourne Via Ballarat,2,8F1A95,FFFFFF,1_regional_train
aus:vic:vic-01-BAT:,,Ballarat,Ballarat - Melbourne Via Melton,2,8F1A95,FFFFFF,1_regional_train
aus:vic:vic-01-BDE:,,Traralgon,Bairnsdale - Melbourne Via Traralgon & Sale,2,8F1A95,FFFFFF,1_regional_train
aus:vic:vic-01-BGO:,,Bendigo,Bendigo - Melbourne Via Sunbury,2,8F1A95,FFFFFF,1_regional_train
aus:vic:vic-01-ECH:,,Bendigo,Echuca/Moama - Melbourne Via Bendigo or Heathcote,2,8F1A95,FFFFFF,1_regional_train
aus:vic:vic-01-GEL:,,Geelong,Geelong - Melbourne Via Geelong,2,8F1A95,FFFFFF,1_regional_train
aus:vic:vic-01-MBY:,,Ballarat,Maryborough - Melbourne Via Ballarat,2,8F1A95,FFFFFF,1_regional_train
aus:vic:vic-01-SER:,,Seymour,Seymour - Melbourne Via Broadmeadows,2,8F1A95,FFFFFF,1_regional_train
aus:vic:vic-01-SNH:,,Seymour,Shepparton - Melbourne Via Seymour,2,8F1A95,FFFFFF,1_regional_train
aus:vic:vic-01-SWL:,,Bendigo,Swan Hill - Melbourne Via Bendigo,2,8F1A95,FFFFFF,1_regional_train
aus:vic:vic-01-TRN:,,Traralgon,"Traralgon - Melbourne Via Pakenham, Moe & Morwell",2,8F1A95,FFFFFF,1_regional_train
aus:vic:vic-01-vPK:,,Pakenham,Pakenham - City Via Pakenham,2,8F1A95,FFFFFF,1_regional_train
aus:vic:vic-01-WBL:,,Geelong,Warrnambool - Melbourne Via Geelong & Colac,2,8F1A95,FFFFFF,1_regional_train
aus:vic:vic-02-ALM:,,Alamein,Alamein - City,2,152C6B,FFFFFF,2_metro_train
aus:vic:vic-02-ALM-R:,,Replacement Bus,Alamein - City,2,FE5000,FFFFFF,2_metro_train
aus:vic:vic-02-BEG:,,Belgrave,Belgrave - City,2,152C6B,FFFFFF,2_metro_train
aus:vic:vic-02-BEG-R:,,Replacement Bus,Belgrave - City,2,FE5000,FFFFFF,2_metro_train
aus:vic:vic-02-CBE:,,Cranbourne,Cranbourne - City,2,279FD5,000000,2_metro_train
aus:vic:vic-02-CBE-R:,,Replacement Bus,Cranbourne - City,2,FE5000,FFFFFF,2_metro_train
aus:vic:vic-02-CCL:,,City Circle,,2,0072CE,FFFFFF,2_metro_train
aus:vic:vic-02-CGB:,,Craigieburn,Craigieburn - City,2,FFBE00,000000,2_metro_train
aus:vic:vic-02-CGB-R:,,Replacement Bus,Craigieburn - City,2,FE5000,FFFFFF,2_metro_train
aus:vic:vic-02-FKN:,,Frankston,Frankston - City,2,028430,FFFFFF,2_metro_train
aus:vic:vic-02-FKN-R:,,Replacement Bus,Frankston - City,2,FE5000,FFFFFF,2_metro_train
aus:vic:vic-02-GWY:,,Glen Waverley,Glen Waverley - City,2,152C6B,FFFFFF,2_metro_train
aus:vic:vic-02-GWY-R:,,Replacement Bus,Glen Waverley - City,2,FE5000,FFFFFF,2_metro_train
aus:vic:vic-02-HBE:,,Hurstbridge,Hurstbridge - City,2,BE1014,FFFFFF,2_metro_train
aus:vic:vic-02-HBE-R:,,Replacement Bus,Hurstbridge - City,2,FE5000,FFFFFF,2_metro_train
aus:vic:vic-02-LIL:,,Lilydale,Lilydale - City,2,152C6B,FFFFFF,2_metro_train
aus:vic:vic-02-LIL-R:,,Replacement Bus,Lilydale - City,2,FE5000,FFFFFF,2_metro_train
aus:vic:vic-02-MDD:,,Mernda,Mernda - City,2,BE1014,FFFFFF,2_metro_train
aus:vic:vic-02-MDD-R:,,Replacement Bus,Mernda - City,2,FE5000,FFFFFF,2_metro_train
aus:vic:vic-02-PKM:,,Pakenham,Pakenham - City,2,279FD5,000000,2_metro_train
aus:vic:vic-02-PKM-R:,,Replacement Bus,Pakenham - City,2,FE5000,FFFFFF,2_metro_train
aus:vic:vic-02-RCE:,,Flemington Racecourse,Flemington Racecourse - City,2,95979A,000000,2_metro_train
aus:vic:vic-02-RCE-R:,,Replacement Bus,City,2,FE5000,FFFFFF,2_metro_train
aus:vic:vic-02-SHM:,,Sandringham,Sandringham - City,2,F178AF,000000,2_metro_train
