trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
"1.T0.11-box-mjp-1.1.H","20:15:00","20:15:00","48578","1","","0","0","0.00"
"1.T0.11-box-mjp-1.1.H","20:18:00","20:18:00","45511","2","","0","0","397.61"
"1.T0.11-box-mjp-1.1.H","20:43:00","20:43:00","20668","3","","0","0","26477.22"
"1.T0.11-box-mjp-1.1.H","21:08:00","21:08:00","19488","4","","0","0","38555.13"
"1.T0.11-box-mjp-1.1.H","21:18:00","21:18:00","19648","5","","0","0","43004.80"
"1.T0.11-SK4-mjp-1.1.H","06:45:00","06:45:00","48578","1","","0","0","0.00"
"1.T0.11-SK4-mjp-1.1.H","06:48:00","06:48:00","45511","2","","0","1","397.61"
"1.T0.11-SK4-mjp-1.1.H","07:26:00","07:26:00","1109","3","","1","0","30561.58"
"1.T0.11-SK4-mjp-1.1.H","07:32:00","07:32:00","1100","4","","1","0","32924.61"
"1.T0.11-SK4-mjp-1.1.H","07:39:00","07:39:00","894","5","","1","0","34590.31"
"1.T0.11-SK4-mjp-1.1.H","07:42:00","07:42:00","20394","6","","1","0","35571.04"
"1.T0.11-SK4-mjp-1.1.H","07:48:00","07:48:00","1414","7","","1","0","36955.90"
"1.T0.11-SK4-mjp-1.1.H","07:53:00","07:53:00","20400","8","","1","0","37878.60"
"1.T0.11-SK4-mjp-1.1.H","08:01:00","08:01:00","14948","9","","1","0","42362.59"
"1.T0.11-SK4-mjp-1.1.H","08:07:00","08:07:00","20983","10","","1","0","45623.27"
"1.T0.11-SK4-mjp-1.1.H","08:14:00","08:14:00","9349","11","","1","0","49021.80"
"1.T0.11-SK4-mjp-1.1.H","08:30:00","08:30:00","42273","12","","1","0","58223.94"
"1.T0.11-SK4-mjp-1.1.H","08:40:00","08:40:00","48784","13","","1","0","68525.39"
"1.T0.11-SK4-mjp-1.1.H","08:43:00","08:43:00","21218","14","","0","0","69416.89"
"1.T0.11-Ska-mjp-1.1.H","10:20:00","10:20:00","40272","1","","0","0","0.00"
"1.T0.11-Ska-mjp-1.1.H","10:50:00","10:50:00","5184","2","","1","0","24132.68"
"1.T0.11-Ska-mjp-1.1.H","11:30:00","11:30:00","23175","3","","0","0","55551.08"
"1.T0.11-SKY-mjp-1.1.H","04:00:00","04:00:00","48578","1","","0","0","0.00"
"1.T0.11-SKY-mjp-1.1.H","04:03:00","04:03:00","45513","2","","0","1","157.14"
