pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional,traversal_time
"vic:rail:ALM_EN1_26101_walkway_1","vic:rail:ALM_EN1","26101","1","1","18"
"vic:rail:ALM_EN1_11197_walkway_1","vic:rail:ALM_EN1","11197","1","1","30"
"vic:rail:ASP_PR1_vic:rail:ASP_EN3_walkway_1","vic:rail:ASP_PR1","vic:rail:ASP_EN3","1","1","42"
"vic:rail:ASP_EN1_vic:rail:ASP_EN2_walkway_1","vic:rail:ASP_EN1","vic:rail:ASP_EN2","1","1","84"
"vic:rail:ASP_EN1_11234_walkway_1","vic:rail:ASP_EN1","11234","1","1","30"
"vic:rail:ASP_EN2_11235_walkway_1","vic:rail:ASP_EN2","11235","1","1","84"
"vic:rail:ASP_EN3_26109_walkway_1","vic:rail:ASP_EN3","26109","1","1","36"
"vic:rail:ASP_EN3_11235_stairs_1","vic:rail:ASP_EN3","11235","2","1","18"
"vic:rail:BCV_PR_vic:rail:BCV_EN4_walkway_1","vic:rail:BCV_PR","vic:rail:BCV_EN4","1","1","300"
"vic:rail:BCV_PR_26111_walkway_1","vic:rail:BCV_PR","26111","1","1","60"
"vic:rail:BCV_EN1_26111_walkway_1","vic:rail:BCV_EN1","26111","1","1","60"
"vic:rail:BCV_EN1_vic:rail:BCV_EN3_walkway_1","vic:rail:BCV_EN1","vic:rail:BCV_EN3","1","1","84"
"vic:rail:BCV_EN1_vic:rail:BCV_DP1_stairs_1","vic:rail:BCV_EN1","vic:rail:BCV_DP1","2","1","18"
"vic:rail:BCV_EN2_vic:rail:BCV_EN4_walkway_1","vic:rail:BCV_EN2","vic:rail:BCV_EN4","1","1","102"
"vic:rail:BCV_EN2_26111_walkway_1","vic:rail:BCV_EN2","26111","1","1","84"
"vic:rail:BCV_EN2_vic:rail:BCV_DP1_walkway_1","vic:rail:BCV_EN2","vic:rail:BCV_DP1","1","1","84"
"vic:rail:BCV_EN3_26111_walkway_1","vic:rail:BCV_EN3","26111","1","1","66"
"vic:rail:BCV_EN3_vic:rail:BCV_DP2_stairs_1","vic:rail:BCV_EN3","vic:rail:BCV_DP2","2","1","18"
"vic:rail:BCV_EN4_26111_walkway_1","vic:rail:BCV_EN4","26111","1","1","66"
"vic:rail:BCV_EN4_vic:rail:BCV_DP2_walkway_1","vic:rail:BCV_EN4","vic:rail:BCV_DP2","1","1","138"
"vic:rail:BCV_DP1_14288_walkway_1","vic:rail:BCV_DP1","14288","1","1","138"
"vic:rail:BCV_DP2_14287_walkway_1","vic:rail:BCV_DP2","14287","1","1","30"
"vic:rail:BEL_PR1_vic:rail:BEL_EN1_walkway_1","vic:rail:BEL_PR1","vic:rail:BEL_EN1","1","1","90"
"vic:rail:BEL_BR1_vic:rail:BEL_EN2_walkway_1","vic:rail:BEL_BR1","vic:rail:BEL_EN2","1","1","18"
"vic:rail:BEL_EN1_26117_walkway_1","vic:rail:BEL_EN1","26117","1","1","240"
"vic:rail:BEL_EN1_vic:rail:BEL_CN1_walkway_1","vic:rail:BEL_EN1","vic:rail:BEL_CN1","1","1","18"
"vic:rail:BEL_EN2_vic:rail:BEL_CN1_walkway_1","vic:rail:BEL_EN2","vic:rail:BEL_CN1","1","1","18"
"vic:rail:BEL_CN1_15381_stairs_1","vic:rail:BEL_CN1","15381","2","1","42"
"vic:rail:BEL_CN1_15381_elevator_1","vic:rail:BEL_CN1","15381","5","1","60"
"vic:rail:BEL_CN1_15382_stairs_1","vic:rail:BEL_CN1","15382","2","1","42"
"vic:rail:BEL_CN1_15382_elevator_1","vic:rail:BEL_CN1","15382","5","1","60"
"vic:rail:BBN_PR1_vic:rail:BBN_EN3_walkway_1","vic:rail:BBN_PR1","vic:rail:BBN_EN3","1","1","60"
"vic:rail:BBN_PR1_vic:rail:BBN_EN4_walkway_1","vic:rail:BBN_PR1","vic:rail:BBN_EN4","1","1","66"
"vic:rail:BBN_PR2_vic:rail:BBN_EN4_walkway_1","vic:rail:BBN_PR2","vic:rail:BBN_EN4","1","1","120"
