service_id,date,exception_type
"MF10-21-663-aus","20250922","2"
"MF10-21-663-aus","20250923","2"
"MF10-21-663-aus","20250924","2"
"MF10-21-663-aus","20250929","2"
"MF10-21-663-aus","20250930","2"
"MF10-21-663-aus","20251001","2"
"MF10-21-663-aus","20251006","2"
"MF10-21-663-aus","20251007","2"
"MF10-21-663-aus","20251008","2"
"MF10-21-663-aus","20251013","2"
"MF10-21-663-aus","20251014","2"
"MF10-21-663-aus","20251015","2"
"MF10-21-663-aus","20251027","2"
"MF10-21-663-aus","20251028","2"
"MF10-21-663-aus","20251029","2"
"MF10-21-663-aus","20251103","2"
"MF10-21-663-aus","20251104","2"
"MF10-21-663-aus","20251105","2"
"MF10-21-663-aus","20251110","2"
"MF10-21-663-aus","20251111","2"
"MF10-21-663-aus","20251112","2"
"MF10-21-663-aus","20251117","2"
"MF10-21-663-aus","20251118","2"
"MF10-21-663-aus","20251119","2"
"MF10-21-663-aus","20251124","2"
"MF10-21-663-aus","20251125","2"
"MF10-21-663-aus","20251126","2"
"MF10-21-663-aus","20251201","2"
"MF10-21-663-aus","20251202","2"
"MF10-21-663-aus","20251203","2"
"MF10-21-663-aus","20251208","2"
"MF10-21-663-aus","20251209","2"
"MF10-21-663-aus","20251210","2"
"MF10-21-663-aus","20251215","2"
"MF10-21-663-aus","20251216","2"
"MF10-21-663-aus","20251217","2"
"MF10-21-664-aus","20250922","2"
"MF10-21-664-aus","20250923","2"
"MF10-21-664-aus","20250924","2"
"MF10-21-664-aus","20250929","2"
"MF10-21-664-aus","20250930","2"
"MF10-21-664-aus","20251001","2"
"MF10-21-664-aus","20251006","2"
"MF10-21-664-aus","20251007","2"
"MF10-21-664-aus","20251008","2"
"MF10-21-664-aus","20251013","2"
"MF10-21-664-aus","20251014","2"
"MF10-21-664-aus","20251015","2"
"MF10-21-664-aus","20251027","2"
"MF10-21-664-aus","20251028","2"
"MF10-21-664-aus","20251029","2"
"MF10-21-664-aus","20251103","2"
"MF10-21-664-aus","20251104","2"
"MF10-21-664-aus","20251105","2"
"MF10-21-664-aus","20251110","2"
"MF10-21-664-aus","20251111","2"
"MF10-21-664-aus","20251112","2"
"MF10-21-664-aus","20251117","2"
"MF10-21-664-aus","20251118","2"
"MF10-21-664-aus","20251119","2"
"MF10-21-664-aus","20251124","2"
"MF10-21-664-aus","20251125","2"
"MF10-21-664-aus","20251126","2"
"MF10-21-664-aus","20251201","2"
"MF10-21-664-aus","20251202","2"
"MF10-21-664-aus","20251203","2"
"MF10-21-664-aus","20251208","2"
"MF10-21-664-aus","20251209","2"
"MF10-21-664-aus","20251210","2"
"MF10-21-664-aus","20251215","2"
"MF10-21-664-aus","20251216","2"
"MF10-21-664-aus","20251217","2"
"MF10-21-671-aus","20250922","2"
"MF10-21-671-aus","20250923","2"
"MF10-21-671-aus","20250924","2"
"MF10-21-671-aus","20250929","2"
"MF10-21-671-aus","20250930","2"
"MF10-21-671-aus","20251001","2"
"MF10-21-671-aus","20251006","2"
"MF10-21-671-aus","20251007","2"
"MF10-21-671-aus","20251008","2"
"MF10-21-671-aus","20251013","2"
"MF10-21-671-aus","20251014","2"
"MF10-21-671-aus","20251015","2"
"MF10-21-671-aus","20251027","2"
"MF10-21-671-aus","20251028","2"
"MF10-21-671-aus","20251029","2"
"MF10-21-671-aus","20251103","2"
"MF10-21-671-aus","20251104","2"
"MF10-21-671-aus","20251105","2"
"MF10-21-671-aus","20251110","2"
"MF10-21-671-aus","20251111","2"
"MF10-21-671-aus","20251112","2"
"MF10-21-671-aus","20251117","2"
"MF10-21-671-aus","20251118","2"
"MF10-21-671-aus","20251119","2"
"MF10-21-671-aus","20251124","2"
"MF10-21-671-aus","20251125","2"
"MF10-21-671-aus","20251126","2"
"MF10-21-671-aus","20251201","2"
"MF10-21-671-aus","20251202","2"
"MF10-21-671-aus","20251203","2"
"MF10-21-671-aus","20251208","2"
"MF10-21-671-aus","20251209","2"
"MF10-21-671-aus","20251210","2"
"MF10-21-671-aus","20251215","2"
"MF10-21-671-aus","20251216","2"
"MF10-21-671-aus","20251217","2"
"MF10-21-672-aus","20250922","2"
"MF10-21-672-aus","20250923","2"
"MF10-21-672-aus","20250924","2"
"MF10-21-672-aus","20250929","2"
"MF10-21-672-aus","20250930","2"
"MF10-21-672-aus","20251001","2"
"MF10-21-672-aus","20251006","2"
"MF10-21-672-aus","20251007","2"
"MF10-21-672-aus","20251008","2"
"MF10-21-672-aus","20251013","2"
"MF10-21-672-aus","20251014","2"
"MF10-21-672-aus","20251015","2"
"MF10-21-672-aus","20251027","2"
"MF10-21-672-aus","20251028","2"
"MF10-21-672-aus","20251029","2"
"MF10-21-672-aus","20251103","2"
"MF10-21-672-aus","20251104","2"
"MF10-21-672-aus","20251105","2"
"MF10-21-672-aus","20251110","2"
"MF10-21-672-aus","20251111","2"
"MF10-21-672-aus","20251112","2"
"MF10-21-672-aus","20251117","2"
"MF10-21-672-aus","20251118","2"
"MF10-21-672-aus","20251119","2"
"MF10-21-672-aus","20251124","2"
"MF10-21-672-aus","20251125","2"
"MF10-21-672-aus","20251126","2"
"MF10-21-672-aus","20251201","2"
"MF10-21-672-aus","20251202","2"
"MF10-21-672-aus","20251203","2"
"MF10-21-672-aus","20251208","2"
"MF10-21-672-aus","20251209","2"
"MF10-21-672-aus","20251210","2"
"MF10-21-672-aus","20251215","2"
"MF10-21-672-aus","20251216","2"
"MF10-21-672-aus","20251217","2"
"MF10-21-675-aus","20251006","2"
"MF10-21-675-aus","20251007","2"
"MF10-21-675-aus","20251008","2"
"MF10-21-675-aus","20251013","2"
"MF10-21-675-aus","20251014","2"
"MF10-21-675-aus","20251015","2"
"MF10-21-675-aus","20251020","2"
"MF10-21-675-aus","20251021","2"
"MF10-21-675-aus","20251022","2"
"MF10-21-675-aus","20251027","2"
"MF10-21-675-aus","20251028","2"
"MF10-21-675-aus","20251029","2"
"MF10-21-675-aus","20251103","2"
