service_id,date,exception_type
"T0","20250926","2"
"T0","20251104","2"
"T0_1","20250926","2"
"T0_1","20251104","2"
"T0_3","20251104","2"
"T0_4","20250926","2"
"T0_4","20251104","2"
"T0_5","20250926","2"
"T0_5","20251104","2"
"T0_6","20250926","2"
"T0_7","20251104","2"
"T0_9","20250926","2"
"T0+WD02","20251104","2"
"T0+WD07","20251104","2"
"T0+WD0A","20251104","2"
"T0+WD0E","20251104","2"
"T0+WD10","20250926","2"
"T0+WD10_2","20250926","2"
"T0+WD11","20250926","2"
"T0+WD12","20250926","2"
"T0+WD12","20251104","2"
"T0+WD14","20250926","2"
"T0+WD14_1","20250926","2"
"T0+WD18","20250926","2"
"T0+WD18_1","20250926","2"
"T0+WD6F","20251104","2"
"T0+WD6F_1","20251104","2"
"T0+WD75","20250926","2"
"T0+WD75_1","20250926","2"
"T0+WD79","20250926","2"
"UU","20250923","2"
"UU","20250930","2"
"UU","20251007","2"
"UU","20251014","2"
"UU","20251021","2"
"UU","20251028","2"
"UU","20251111","2"
"UU","20251118","2"
"UU","20251125","2"
"UU","20251202","2"
"UU","20251209","2"
"UU","20251216","2"
"UU_1","20250923","2"
"UU_1","20250930","2"
"UU_1","20251007","2"
"UU_1","20251014","2"
"UU_1","20251021","2"
"UU_1","20251028","2"
"UU_1","20251111","2"
"UU_1","20251118","2"
"UU_1","20251125","2"
"UU_1","20251202","2"
"UU_1","20251209","2"
"UU_1","20251216","2"
"UU_2","20250923","2"
"UU_2","20250930","2"
"UU_2","20251007","2"
"UU_2","20251014","2"
"UU_2","20251021","2"
"UU_2","20251028","2"
"UU_2","20251111","2"
"UU_2","20251118","2"
"UU_2","20251125","2"
"UU_2","20251202","2"
"UU_2","20251209","2"
"UU_2","20251216","2"
"UU_3","20251111","2"
"UU_3","20251118","2"
"UU_3","20251125","2"
"UU_3","20251202","2"
"UU_3","20251209","2"
"UU_3","20251216","2"
"UZ","20250919","2"
"UZ","20251003","2"
"UZ","20251010","2"
"UZ","20251017","2"
"UZ","20251024","2"
"UZ","20251031","2"
"UZ","20251107","2"
"UZ","20251114","2"
"UZ","20251121","2"
"UZ","20251128","2"
"UZ","20251205","2"
"UZ","20251212","2"
"UZ","20251219","2"
"UZ_1","20250919","2"
"UZ_1","20251003","2"
"UZ_1","20251010","2"
"UZ_1","20251017","2"
"UZ_1","20251024","2"
"UZ_1","20251031","2"
"UZ_1","20251107","2"
"UZ_1","20251114","2"
"UZ_1","20251121","2"
"UZ_1","20251128","2"
"UZ_1","20251205","2"
"UZ_1","20251212","2"
"UZ_1","20251219","2"
"UZ_2","20250919","2"
"UZ_2","20251003","2"
"UZ_2","20251010","2"
"UZ_2","20251017","2"
"UZ_2","20251024","2"
"UZ_2","20251031","2"
"UZ_2","20251107","2"
"UZ_2","20251114","2"
"UZ_2","20251121","2"
"UZ_2","20251128","2"
"UZ_2","20251205","2"
"UZ_2","20251212","2"
"UZ_2","20251219","2"
"UZ_3","20250919","2"
"UZ_3","20251003","2"
"UZ_3","20251010","2"
"UZ_3","20251017","2"
"UZ_3","20251024","2"
"UZ_4","20250919","2"
