route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"6-13-mjp-1","","13","Paynesville - Bairnsdale Via Paynesville","3","FF8200","FFFFFF"
"6-14-mjp-1","","14","Omeo - Bairnsdale Via Bruthen, Swifts Creek","3","FF8200","FFFFFF"
"6-209-mjp-1","","3","Wurruk - Sale Via Princes Highway","3","FF8200","FFFFFF"
"6-298-mjp-1","","2","Gippsland Regional Sport Complex - Sale Via Gippsland Regional Sport Complex","3","FF8200","FFFFFF"
"6-40b-mjp-1","","211/311/312","Merbein - MilduraCity Via Eleventh St","3","FF8200","FFFFFF"
"6-54n-mjp-2","","","Traralgon - Wonthaggi Via Inverloch, Leongatha, Mirboo Nth","3","FF8200","FFFFFF"
"6-589-mjp-2","","1","Sale Hospital - Sale Via Port of Sale","3","FF8200","FFFFFF"
"6-73-mjp-1","","1","Bairnsdale Via West Bairnsdale","3","FF8200","FFFFFF"
"6-855-mjp-2","","","Yarram - Traralgon Via Gormandale","3","FF8200","FFFFFF"
"6-858-mjp-1","","","Wangaratta - Myrtleford Via Wangaratta","3","FF8200","FFFFFF"
"6-866-mjp-1","","AW","Albury Via Gateway Island","3","FF8200","FFFFFF"
"6-867-mjp-1","","F","Wodonga Via West Wodonga","3","FF8200","FFFFFF"
"6-868-mjp-1","","G","Wodonga Via Gayview Drive","3","FF8200","FFFFFF"
"6-869-mjp-1","","T","TAFE Via West Wodonga","3","FF8200","FFFFFF"
"6-86N-mjp-1","","","Kaniva - Horsham Via Dimboola, Nhill","3","FF8200","FFFFFF"
"6-872-mjp-1","","O","West Wodonga Via West Wodonga","3","FF8200","FFFFFF"
"6-873-mjp-1","","C","Cambourne Park Via Cambourne Park","3","FF8200","FFFFFF"
"6-874-mjp-1","","WS","Wodonga Via Wodonga","3","FF8200","FFFFFF"
"6-875-mjp-1","","B","Baranduda Via Baranduda","3","FF8200","FFFFFF"
"6-876-mjp-1","","150","Albury Via Birallee Shopping Centre","3","FF8200","FFFFFF"
"6-877-mjp-1","","160","Albury Via Birallee Shopping Centre","3","FF8200","FFFFFF"
"6-89x-mjp-1","","","Daylesford Via Hepburn Springs","3","FF8200","FFFFFF"
"6-901-mjp-1","","NSW901","West Albury Via West Albury","3","FF8200","FFFFFF"
"6-902-mjp-1","","NSW902","South Albury Via South Albury","3","FF8200","FFFFFF"
"6-903-mjp-1","","NSW903","East Albury Via Base Hospital","3","FF8200","FFFFFF"
"6-904-mjp-1","","2","Rodney Park Via Rumbalara Co-Op, Echuca Rd","3","FF8200","FFFFFF"
"6-906-mjp-1","","NSW906","Lavington - Albury Via North Albury & Springdale Heights","3","FF8200","FFFFFF"
"6-907-mjp-1","","NSW907","Quicks Hill - Albury Via TAFE, Glenroy & Lavington","3","FF8200","FFFFFF"
"6-908-mjp-1","","NSW908","Thurgoona - Albury Via North Albury, Lavington & University","3","FF8200","FFFFFF"
"6-909-mjp-1","","NSW909","Thurgoona - Albury Via Hospital & Airport","3","FF8200","FFFFFF"
"6-920-mjp-1","","250/300","Merbein - Mildura City Via Seventeenth St","3","FF8200","FFFFFF"
"6-921-mjp-1","","100/200","Red Cliffs - Mildura City Via Red Cliffs","3","FF8200","FFFFFF"
"6-935-mjp-1","","","Korumburra - Korumburra (via King St-Commercial St) Via Korumburra","3","FF8200","FFFFFF"
"6-946-mjp-1","","South - Schools AM","Swan Hill Via Swan Hill","3","FF8200","FFFFFF"
"6-947-mjp-1","","","Stratford - Sale Via Stratford","3","FF8200","FFFFFF"
"6-949-mjp-1","","South - Schools PM","Swan Hill South Via Swan Hill South","3","FF8200","FFFFFF"
"6-959-mjp-1","","","Chiltern - Wangaratta Via Springhurst, Rutherglen","3","FF8200","FFFFFF"
"6-960-mjp-1","","","Wangaratta - Yarrawonga Via Peechelba, Killawarra","3","FF8200","FFFFFF"
"6-973-mjp-1","","","Leongatha - Wonthaggi Via Inverloch","3","FF8200","FFFFFF"
"6-973-mjp-3","","","Leongatha - Wonthaggi Via Inverloch","3","FF8200","FFFFFF"
"6-976-mjp-1","","","Wonthaggi - Cape Paterson Via Wonthaggi","3","FF8200","FFFFFF"
"6-977-mjp-1","","","Wonthaggi - Coronet Bay/Corinella Via Corinella, Anderson","3","FF8200","FFFFFF"
"6-984-mjp-1","","1","Albury - Corowa Via Howlong","3","FF8200","FFFFFF"
"6-992-mjp-1","","1","Hamilton (Route 1) Via Coleraine Rd","3","FF8200","FFFFFF"
"6-994-mjp-1","","","Mortlake - Warrnambool Via Ballangeich, Ellerslie","3","FF8200","FFFFFF"
"6-a18-mjp-1","","12","Gelantipy - Bairnsdale Via Lakes Entrance","3","FF8200","FFFFFF"
"6-a19-mjp-2","","4","Sale Station Via Reeve Street","3","FF8200","FFFFFF"
"6-a20-mjp-1","","401","West End - Wangaratta Via West End","3","FF8200","FFFFFF"
"6-a21-mjp-1","","402","Yarrunga - Wangaratta Via Murdoch Rd","3","FF8200","FFFFFF"
"6-a22-mjp-1","","403","Yarrawonga Road - Wangaratta Via Yarrawonga Road","3","FF8200","FFFFFF"
"6-a23-mjp-1","","","Albury/Wodonga - Corryong Via Walwa","3","FF8200","FFFFFF"
"6-a28-mjp-1","","tv","Tooleybuc - Swan Hill Via Nyah West","3","FF8200","FFFFFF"
"6-a29-mjp-1","","","Bendigo - Ballarat Via Maryborough","3","FF8200","FFFFFF"
"6-a30-mjp-2","","7","Loch Sport - Sale Via Longford","3","FF8200","FFFFFF"
"6-a31-mjp-1","","7","Beechworth - Albury Via Wodonga, Yackandandah","3","FF8200","FFFFFF"
"6-a32-mjp-1","","2","Bairnsdale Via East Bairnsdale","3","FF8200","FFFFFF"
"6-a33-mjp-1","","3","Bairnsdale Via Wy Yung","3","FF8200","FFFFFF"
"6-a34-mjp-1","","","Fountain Gate - Cowes Via San Remo, Pakenham","3","FF8200","FFFFFF"
"6-a36-mjp-1","","1","Westwood Park - Echuca Via Echuca South","3","FF8200","FFFFFF"
"6-a37-mjp-1","","2","Echuca Via Echuca","3","FF8200","FFFFFF"
"6-a38-mjp-1","","3","Echuca Via Moama","3","FF8200","FFFFFF"
"6-a39-mjp-1","","3","Mooroopna Park Via Echuca Rd, Gange St","3","FF8200","FFFFFF"
"6-a40-mjp-1","","1","Shepparton - Mooroopna Via McLennan St","3","FF8200","FFFFFF"
"6-a42-mjp-1","","1","Swan Hill North Via Swan Hill North","3","FF8200","FFFFFF"
"6-a43-mjp-1","","2","Swan Hill South Via Swan Hill South","3","FF8200","FFFFFF"
"6-a44-mjp-1","","","Albury - Myrtleford Via Wodonga","3","FF8200","FFFFFF"
